Iteracja,MSE
1,0.5156661034865606
2,0.5156661034865606
3,0.5156661034865606
4,0.5156661034865606
5,0.5156661034865606
6,0.5112311894067995
7,0.5112311894067995
8,0.5112311894067995
9,0.5112311894067995
10,0.4977638425863373
11,0.4977638425863373
12,0.4977638425863373
13,0.4894849412102629
14,0.4758577908342239
15,0.4758577908342239
16,0.46726745199795616
17,0.46726745199795616
18,0.44458641539741317
19,0.44458641539741317
20,0.44444422986846
